# Distance_from_separatrix(m) Electron_Density(ions/m^3)
-5.743729e-02 2.119003e+20
-4.774933e-02 1.987938e+20
-4.007795e-02 1.864566e+20
-3.382705e-02 1.749215e+20
-2.867526e-02 1.641417e+20
-2.433206e-02 1.539102e+20
-2.062064e-02 1.441836e+20
-1.739678e-02 1.349933e+20
-1.460845e-02 1.262209e+20
-1.216837e-02 1.177850e+20
-9.962534e-03 1.097168e+20
-7.983725e-03 1.020226e+20
-6.220116e-03 9.465113e+19
-4.627738e-03 8.768264e+19
-3.197655e-03 8.119833e+19
-1.856850e-03 7.508505e+19
-5.961030e-04 6.938678e+19
5.607846e-04 6.397528e+19
1.650938e-03 5.871533e+19
2.766834e-03 5.368435e+19
3.952129e-03 4.882400e+19
5.175982e-03 4.411060e+19
6.488629e-03 3.955540e+19
7.869907e-03 3.514217e+19
9.313420e-03 3.094754e+19
1.087451e-02 2.700346e+19
1.254043e-02 2.328243e+19
1.438588e-02 1.980346e+19
1.642590e-02 1.661386e+19
1.856837e-02 1.373276e+19
2.092153e-02 1.115578e+19
2.358434e-02 8.890255e+18
2.650598e-02 6.943223e+18
2.978145e-02 5.296144e+18
3.346067e-02 3.927352e+18
3.751578e-02 2.831690e+18
4.210907e-02 1.978938e+18
4.735064e-02 1.336103e+18
5.326139e-02 8.690457e+17
6.008687e-02 5.418170e+17
6.794368e-02 3.196488e+17
7.721124e-02 1.752095e+17
8.804738e-02 8.435575e+16
1.013311e-01 2.696651e+16
