# Distance_from_separatrix(m) Electron_Temperature(eV)
-5.743729e-02 4.803124e+02
-4.774933e-02 4.678196e+02
-4.007795e-02 4.555605e+02
-3.382705e-02 4.434380e+02
-2.867526e-02 4.312936e+02
-2.433206e-02 4.189174e+02
-2.062064e-02 4.060651e+02
-1.739678e-02 3.925147e+02
-1.460845e-02 3.780428e+02
-1.216837e-02 3.622558e+02
-9.962534e-03 3.447009e+02
-7.983725e-03 3.249242e+02
-6.220116e-03 3.021278e+02
-4.627738e-03 2.754967e+02
-3.197655e-03 2.438288e+02
-1.856850e-03 2.052207e+02
-5.961030e-04 1.574179e+02
5.607846e-04 9.897574e+01
1.650938e-03 6.863927e+01
2.766834e-03 5.123993e+01
3.952129e-03 4.066336e+01
5.175982e-03 3.370522e+01
6.488629e-03 2.881163e+01
7.869907e-03 2.508509e+01
9.313420e-03 2.209648e+01
1.087451e-02 1.964261e+01
1.254043e-02 1.753996e+01
1.438588e-02 1.569406e+01
1.642590e-02 1.406266e+01
1.856837e-02 1.260896e+01
2.092153e-02 1.129857e+01
2.358434e-02 1.011148e+01
2.650598e-02 9.023580e+00
2.978145e-02 8.027122e+00
3.346067e-02 7.090539e+00
3.751578e-02 6.218496e+00
4.210907e-02 5.418880e+00
4.735064e-02 4.690796e+00
5.326139e-02 4.030369e+00
6.008687e-02 3.448812e+00
6.794368e-02 2.946468e+00
7.721124e-02 2.526385e+00
8.804738e-02 2.192854e+00
1.013311e-01 1.863261e+00
