# Distance_from_separatrix(m) Electron_Density(ions/m^3)
-5.743729e-02 2.119037e+20
-4.774933e-02 1.988013e+20
-4.007795e-02 1.864640e+20
-3.382705e-02 1.749228e+20
-2.867526e-02 1.641286e+20
-2.433206e-02 1.538720e+20
-2.062064e-02 1.441066e+20
-1.739678e-02 1.348614e+20
-1.460845e-02 1.260158e+20
-1.216837e-02 1.174869e+20
-9.962534e-03 1.093074e+20
-7.983725e-03 1.014888e+20
-6.220116e-03 9.398599e+19
-4.627738e-03 8.688870e+19
-3.197655e-03 8.028554e+19
-1.856850e-03 7.406917e+19
-5.961030e-04 6.828818e+19
5.607846e-04 6.281164e+19
1.650938e-03 5.750380e+19
2.766834e-03 5.244288e+19
3.952129e-03 4.756980e+19
5.175982e-03 4.286087e+19
6.488629e-03 3.832712e+19
7.869907e-03 3.395206e+19
9.313420e-03 2.981133e+19
1.087451e-02 2.593441e+19
1.254043e-02 2.229267e+19
1.438588e-02 1.890308e+19
1.642590e-02 1.580944e+19
1.856837e-02 1.302765e+19
2.092153e-02 1.055073e+19
2.358434e-02 8.382898e+18
2.650598e-02 6.527967e+18
2.978145e-02 4.965407e+18
3.346067e-02 3.672175e+18
3.751578e-02 2.641084e+18
4.210907e-02 1.841535e+18
4.735064e-02 1.240845e+18
5.326139e-02 8.057316e+17
6.008687e-02 5.016791e+17
6.794368e-02 2.956832e+17
7.721124e-02 1.619731e+17
8.804738e-02 7.795744e+16
1.013311e-01 2.491709e+16
