# Distance_from_separatrix(m) Electron_Temperature(eV)
-5.743729e-02 4.624467e+02
-4.774933e-02 4.479070e+02
-4.007795e-02 4.340274e+02
-3.382705e-02 4.206738e+02
-2.867526e-02 4.076495e+02
-2.433206e-02 3.947151e+02
-2.062064e-02 3.816069e+02
-1.739678e-02 3.680901e+02
-1.460845e-02 3.539346e+02
-1.216837e-02 3.387443e+02
-9.962534e-03 3.220768e+02
-7.983725e-03 3.034940e+02
-6.220116e-03 2.822313e+02
-4.627738e-03 2.575160e+02
-3.197655e-03 2.282095e+02
-1.856850e-03 1.925366e+02
-5.961030e-04 1.484284e+02
5.607846e-04 9.470682e+01
1.650938e-03 6.535487e+01
2.766834e-03 4.808090e+01
3.952129e-03 3.765587e+01
5.175982e-03 3.090043e+01
6.488629e-03 2.621054e+01
7.869907e-03 2.269208e+01
9.313420e-03 1.993010e+01
1.087451e-02 1.770416e+01
1.254043e-02 1.582720e+01
1.438588e-02 1.420227e+01
1.642590e-02 1.278230e+01
1.856837e-02 1.152645e+01
2.092153e-02 1.039818e+01
2.358434e-02 9.371926e+00
2.650598e-02 8.421521e+00
2.978145e-02 7.540957e+00
3.346067e-02 6.701264e+00
3.751578e-02 5.908754e+00
4.210907e-02 5.171558e+00
4.735064e-02 4.490403e+00
5.326139e-02 3.862270e+00
6.008687e-02 3.299774e+00
6.794368e-02 2.807316e+00
7.721124e-02 2.394343e+00
8.804738e-02 2.072334e+00
1.013311e-01 1.767733e+00
