# Distance_along_plate(m) Heat_flux(MW/m^2)
-6.289942e-02 4.986086e-02
-5.743729e-02 4.986086e-02
-4.774933e-02 5.068690e-02
-4.007795e-02 5.262906e-02
-3.382705e-02 5.451771e-02
-2.867526e-02 5.632366e-02
-2.433206e-02 5.811821e-02
-2.062064e-02 6.006387e-02
-1.739678e-02 6.254445e-02
-1.460845e-02 6.670267e-02
-1.216837e-02 7.519951e-02
-9.962534e-03 9.479831e-02
-7.983725e-03 1.389712e-01
-6.220116e-03 2.317998e-01
-4.627738e-03 4.096547e-01
-3.197655e-03 7.269068e-01
-1.856850e-03 1.281739e+00
-5.961030e-04 2.713578e+00
5.607846e-04 9.165948e+00
1.650938e-03 5.527754e+00
2.766834e-03 3.186661e+00
3.952129e-03 2.142548e+00
5.175982e-03 1.516672e+00
6.488629e-03 1.072411e+00
7.869907e-03 7.999204e-01
9.313420e-03 6.004761e-01
1.087451e-02 4.508825e-01
1.254043e-02 3.504866e-01
1.438588e-02 2.654864e-01
1.642590e-02 2.127419e-01
1.856837e-02 1.772020e-01
2.092153e-02 1.456588e-01
2.358434e-02 1.254729e-01
2.650598e-02 1.116067e-01
2.978145e-02 1.018828e-01
3.346067e-02 9.553853e-02
3.751578e-02 9.138932e-02
4.210907e-02 8.857150e-02
4.735064e-02 8.677631e-02
5.326139e-02 8.566320e-02
6.008687e-02 8.501067e-02
6.794368e-02 8.471195e-02
7.721124e-02 8.471123e-02
8.804738e-02 8.499631e-02
1.013311e-01 8.559093e-02
1.090811e-01 8.559093e-02
