# Distance_along_plate(m) Heat_flux(MW/m^2)
-5.093120e-02 5.314506e-02
-4.629002e-02 5.314506e-02
-3.816964e-02 5.475727e-02
-3.180701e-02 5.723426e-02
-2.670458e-02 5.957317e-02
-2.255941e-02 6.178334e-02
-1.904171e-02 6.415508e-02
-1.605537e-02 6.752828e-02
-1.351143e-02 7.430146e-02
-1.132574e-02 8.995986e-02
-9.408670e-03 1.234646e-01
-7.685699e-03 1.902607e-01
-6.141176e-03 3.110484e-01
-4.756411e-03 5.061048e-01
-3.511542e-03 7.984524e-01
-2.388391e-03 1.189668e+00
-1.369856e-03 1.658528e+00
-4.421324e-04 2.140995e+00
4.230642e-04 2.630410e+00
1.273104e-03 3.002439e+00
2.133164e-03 3.193753e+00
2.995130e-03 3.130154e+00
3.884962e-03 2.741856e+00
4.820299e-03 2.252463e+00
5.806544e-03 1.725306e+00
6.848691e-03 1.295155e+00
7.937422e-03 9.589388e-01
9.081277e-03 7.097997e-01
1.028796e-02 5.390808e-01
1.156559e-02 4.174201e-01
1.291903e-02 3.305466e-01
1.436135e-02 2.664783e-01
1.591562e-02 2.181694e-01
1.758229e-02 1.831002e-01
1.939540e-02 1.556230e-01
2.138664e-02 1.363297e-01
2.354639e-02 1.228767e-01
2.587373e-02 1.133531e-01
2.838101e-02 1.066335e-01
3.110809e-02 1.019034e-01
3.414424e-02 9.871744e-02
3.748684e-02 9.662558e-02
4.108950e-02 9.523628e-02
4.504606e-02 9.420268e-02
4.950430e-02 9.342282e-02
5.184426e-02 9.342282e-02
